Commodity,Operator ID,name,Intrastate Miles,Intrastate HCA Miles,Interstate Miles,Interstate HCA Miles,miles,Miles of Gathering,Interstate Tanks,Intrastate Tanks,tanks
CRUDE OIL,32091,"WILLIAMS OIL GATHERING, LLC",,,377.9,12.05,378,0,0,0,0
CRUDE OIL,32096,WYNNEWOOD REFINERY COMPANY,2.1,2.06,,,2,0,0,0,0
CRUDE OIL,32103,CRIMSON PIPELINE L.P.,"1,030.00",628,,,1030,674,0,14,14
CRUDE OIL,32179,EXXONMOBIL BILLINGS REFINERY,,,,,,,0,1,1
CRUDE OIL,32213,DIAMOND SHAMROCK REFINING CO. LP,,,,,,,0,1,1
CRUDE OIL,32223,VALERO REFINING COMPANY - CALIFORNIA,5.4,5.39,,,5,0,0,9,9
CRUDE OIL,32233,"BESCO OPERATING, L.P.",6.3,6.28,,,6,5.9,0,0,0
CRUDE OIL,32251,"RIBOST TERMINAL LLC, DBA WORLD OIL TERMINALS",0.2,0.22,,,0,0.2,0,0,0
CRUDE OIL,32283,"FRONT RANGE PIPELINE, LLC.",428.1,91.57,,,428,0,0,8,8
CRUDE OIL,32288,"WHITE CLIFFS PIPELINE, LLC",,,"1,054.50",184.42,1055,0,0,0,0
CRUDE OIL,32296,TARGA RESOURCES OPERATING LLC,208.5,36.5,,,209,56.5,0,10,10
CRUDE OIL,32331,"PASADENA REFINING SYSTEM, INC.",2.4,2.44,,,2,2.4,0,1,1
CRUDE OIL,32346,"TOTAL PETROCHEMICALS PIPELINE USA , INC.",13.6,13.6,,,14,13.6,0,0,0
CRUDE OIL,32364,"VALERO REFINING-NEW ORLEANS, L.L.C.",1.4,1.35,,,1,0,0,0,0
CRUDE OIL,32365,GULFPORT ENERGY CORPORATION,1.8,0.75,,,2,1.8,0,0,0
CRUDE OIL,32407,"GENESIS PIPELINE TEXAS, L.P.",93.6,73.55,,,94,0,0,5,5
CRUDE OIL,32411,"GENESIS PIPELINE ALABAMA, LLC",31.3,13.96,,,31,0,0,0,0
CRUDE OIL,32414,"MARKWEST OKLAHOMA GAS COMPANY, L.L.C.",15.8,12.94,,,16,0.1,0,0,0
CRUDE OIL,32447,"HAWTHORN OIL TRANSPORTATION (NORTH DAKOTA), INC.",4.1,0.73,,,4,0,0,0,0
CRUDE OIL,32450,"ROADRUNNER PIPELINE, L.L.C.",,,69.3,1.67,69,0,0,0,0
CRUDE OIL,32483,"BRIDGER LAKE, LLC",25.3,3,,,25,0,0,1,1
CRUDE OIL,32488,"ENI US OPERATING CO, INC",17.4,17.4,,,17,0,0,0,0
CRUDE OIL,32492,"GENESIS CRUDE OIL, L.P.",2.2,1.51,,,2,0,0,2,2
CRUDE OIL,32503,"CALUMET SHREVEPORT FUELS, LLC",6.4,6.35,,,6,0,0,3,3
CRUDE OIL,32537,WYOMING PIPELINE COMPANY,132.4,1.5,,,132,21,0,4,4
CRUDE OIL,32540,ELECTRAGAS INC.,3.3,3.33,,,3,3.3,0,0,0
CRUDE OIL,32551,"BKEP PIPELINE, LLC",584.7,272,16.3,0,601,0,0,151,151
CRUDE OIL,32572,"TOLEDO REFINING COMPANY, LLC",,,,,,,0,2,2
CRUDE OIL,32575,"DEEPROCK OIL OPERATING, LLC",13.3,2.25,,,13,0,0,16,16
CRUDE OIL,32595,"HIGH POINT GAS GATHERING, LLC",6.1,0,,,6,6.1,0,0,0
CRUDE OIL,32614,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",0.2,0.15,,,0,0,0,0,0
CRUDE OIL,32619,"HILAND CRUDE, LLC",258.1,91.96,,,258,50.1,0,4,4
CRUDE OIL,32643,"LT PIPELINE, INC.",5.3,5.3,,,5,0,0,0,0
CRUDE OIL,32678,KINDER MORGAN CRUDE AND CONDENSATE LLC,265.4,158.5,,,265,0,0,21,21
CRUDE OIL,32688,WEST COAST TERMINAL PIPELINE (WCTP),0.9,0.9,,,1,0,0,3,3
CRUDE OIL,38893,PTE PIPELINE LLC,,,22.3,22.25,22,0,0,0,0
CRUDE OIL,38894,"THUNDER BASIN PIPELINE, LLC",44.6,7.07,,,45,0,0,0,0
CRUDE OIL,38899,"BREITBURN MANAGEMENT COMPANY, LLC",0.4,0.44,,,0,0,0,0,0
CRUDE OIL,38919,LEGACY RESERVES OPERATING LP,11.4,0,,,11,0,0,0,0
CRUDE OIL,38924,NGL CRUDE TERMINALS,61.5,5.1,,,62,0,0,31,31
CRUDE OIL,38930,"PATOKA TERMINAL COMPANY, LLC",0.5,0.45,,,1,0.5,0,0,0
CRUDE OIL,38945,BAKKEN PIPELINE COMPANY LP,,,75.2,6.9,75,0,0,0,0
CRUDE OIL,38949,"NAVARRO MIDSTREAM SERVICES, LLC.",3.4,0,,,3,0,0,0,0
CRUDE OIL,38968,OASIS PETROLEUM NORTH AMERICA,20.8,2.25,,,21,1.8,0,0,0
CRUDE OIL,38989,EMERALD GATHERING AND TRANSMISSION,10.4,0,,,10,0,0,0,0
CRUDE OIL,39012,"SUMMIT MIDSTREAM PARTNERS, LLC",72,4.8,,,72,0.6,0,5,5
CRUDE OIL,39023,DOUBLE EAGLE PIPELINE LLC,204,65.86,,,204,0,0,6,6
CRUDE OIL,39038,E&T LLC,0.4,0,,,0,0,0,0,0
CRUDE OIL,39046,"BRIDGER SWAN RANCH, LLC",4.5,4.46,,,5,4.5,0,2,2
CRUDE OIL,39047,"GEL OFFSHORE PIPELINE, LLC",,,70.4,0,70,0,0,0,0
CRUDE OIL,39050,"CASPER CRUDE TO RAIL, LLC",,,6.2,5.7,6,0,0,0,0
CRUDE OIL,39055,AMID SILVER DOLLAR PIPELINE LLC,173.7,0,,,174,0,0,0,0
CRUDE OIL,39065,HESS ND,104.2,6.21,,,104,4.1,0,3,3
CRUDE OIL,39069,"EMPIRE PIPELINE, LLC",10.7,0,72.7,0,83,39.9,0,0,0
CRUDE OIL,39090,"NUTAAQ PIPELINE, LLC",25.1,25.05,,,25,0,0,0,0
CRUDE OIL,39098,"TEXSTAR MIDSTREAM LOGISTICS, LP",49.9,21.47,,,50,0,0,0,0
CRUDE OIL,39099,CALIBER NORTH DAKOTA LLC,22.9,17.34,,,23,1.6,0,2,2
CRUDE OIL,39106,BOE MIDSTREAM,38.7,30.6,,,39,0,0,1,1
CRUDE OIL,39124,EQUINOR PIPELINES LLC,124.7,49.35,,,125,124.7,0,15,15
CRUDE OIL,39135,"VICTORIA EXPRESS PIPELINE, L.L.C.",56.9,14,,,57,0,0,2,2
CRUDE OIL,39147,"ENABLE GAS GATHERING, LLC",126.2,23.74,,,126,126.2,0,5,5
CRUDE OIL,39153,"ENLINK MIDSTREAM OPERATING, LP",36,1.19,,,36,0,0,4,4
CRUDE OIL,39183,"MEDALLION OPERATING COMPANY, LLC",572.2,113.28,,,572,58.6,0,16,16
CRUDE OIL,39189,"NORTHSTAR OFFSHORE VENTURES, LLC",,,9.7,0,10,0,0,0,0
CRUDE OIL,39196,CHEYENNE RAIL HUB,1.8,1.8,,,2,1.8,0,1,1
CRUDE OIL,39214,ENVEN ENERGY VENTURES LLC.,,,27.5,0,28,23.2,0,0,0
CRUDE OIL,39221,DAKOTA MIDSTREAM,20.7,0,,,21,0,0,10,10
CRUDE OIL,39227,CALIFORNIA RESOURCES VENTURA BASIN,3.1,2.18,,,3,3.1,0,0,0
CRUDE OIL,39228,ANDEAVOR FIELD SERVICES LLC,10.4,3.4,,,10,6.8,0,8,8
CRUDE OIL,39229,CAMINO REAL GATHERING CO LLC,46.7,2.63,,,47,2.7,0,4,4
CRUDE OIL,39241,ZENITH ENERGY TERMINALS JOLIET HOLDINGS LLC,,,4.5,4.11,5,0,0,0,0
CRUDE OIL,39272,"PARADIGM MIDSTREAM SERVICES - ND, LLC",23.9,0,,,24,0,0,0,0
CRUDE OIL,39277,"AMERICAN MIDSTREAM BAKKEN, LLC",44.6,14.42,,,45,44.6,0,0,0
CRUDE OIL,39284,ORYX SO. DELAWARE OGT LLC,269.4,18.9,,,269,8.3,0,8,8
CRUDE OIL,39292,"TWIN EAGLE MIDSTREAM ASSETS, LLC",,,4.5,3.77,5,0,0,0,0
CRUDE OIL,39302,"REPUBLIC MIDSTREAM, LLC",26.2,0,,,26,0,0,0,0
CRUDE OIL,39303,"BASA RESOURCES, INC.",16,16.02,,,16,16,0,0,0
CRUDE OIL,39305,ENLINK CRUDE PURCHASING LLC,9.2,0,,,9,9.2,0,0,0
CRUDE OIL,39307,SUNOCO MIDLAND GATHERING LLC,82.8,5.09,,,83,0,0,6,6
,39316,"RENAISSANCE OFFSHORE, LLC",,,30.1,30.09,30,30.1,0,0,0
CRUDE OIL,39325,"TALOS ENERGY, LLC",,,0.8,0,1,0,0,0,0
CRUDE OIL,39339,TINSLEY RESOURCES LLC,37.4,27.58,,,37,0,0,0,0
CRUDE OIL,39342,MOTIVA DISTRIBUTION,8.2,8.2,,,8,0,0,8,8
CRUDE OIL,39347,"ILLINOIS EXTENSION PIPELINE COMPANY, L.L.C.",,,168.2,82.7,168,0,0,0,0
CRUDE OIL,39348,"NUSTAR PERMIAN TRANSPORTATION AND STORAGE, LLC",340.2,34.2,,,340,9.6,0,10,10
CRUDE OIL,39349,"USG WHEATLAND PIPELINE, LLC",21.1,0,,,21,0,0,10,10
CRUDE OIL,39352,"GENESIS OFFSHORE HOLDINGS, LLC",,,"1,080.10",94.87,1080,0,0,0,0
CRUDE OIL,39354,ENBRIDGE OFFSHORE FACILITIES,,,114.3,0,114,0,0,0,0
CRUDE OIL,39360,"FAIRWAY ENERGY PARTNERS, LLC",38.1,38.08,,,38,0,0,1,1
CRUDE OIL,39368,CRESTWOOD MIDSTREAM PARTNERS LP,145.3,81.93,,,145,56.7,0,7,7
CRUDE OIL,39370,"NORTHWEST GAS PROCESSING, LLC",11.2,0,,,11,0,0,0,0
CRUDE OIL,39377,"WHITNEY OIL & GAS, LLC",9.2,0,,,9,0,0,0,0
CRUDE OIL,39401,GREAT SALT PLAINS PIPELINE LLC,160.4,105.95,,,160,0,0,1,1
CRUDE OIL,39409,"CHALMETTE REFINING, L.L.C.",2.1,2.1,,,2,0,0,0,0
CRUDE OIL,39410,RELIANCE GATHERING LLC,131.6,6.25,,,132,0,0,0,0
CRUDE OIL,39414,NST EXPRESS LLC,23,19.8,,,23,23,0,0,0
CRUDE OIL,39421,"NASCO PETROLEUM, LLC",2.8,2.78,,,3,0,0,0,0
CRUDE OIL,39424,"MAGNUM OPERATING, LLC",8,0,,,8,8,0,0,0
CRUDE OIL,39433,"MAGELLAN OPERATING COMPANY, LLC",25,25,,,25,0,0,0,0
CRUDE OIL,39434,"FOOTHILLS TEXAS, INC.",1.8,0,,,2,1.8,0,0,0
CRUDE OIL,39462,"BAYOU BRIDGE PIPELINE, LLC",,,49.2,34.45,49,0,0,0,0
CRUDE OIL,39474,MODA INGLESIDE LLC,31.6,11.83,,,32,0,0,2,2
CRUDE OIL,39495,"ENLINK CRUDE PIPELINE, LLC",52.6,0.69,,,53,0,0,0,0
CRUDE OIL,39497,MATRIX OIL CORP,1.3,0,,,1,1.3,0,0,0
CRUDE OIL,39498,COX OPERATING LLC,,,10.5,3.14,11,0,0,0,0
CRUDE OIL,39532,TORRANCE BASIN PIPELINE COMPANY LLC,13.9,13.89,,,14,1.4,0,0,0
CRUDE OIL,39533,TORRANCE LOGISTICS COMPANY LLC,0.8,0.84,,,1,0,0,6,6
CRUDE OIL,39534,TORRANCE VALLEY PIPELINE COMPANY LLC,181.5,144.5,,,182,0,0,12,12
CRUDE OIL,39535,TORRANCE PIPELINE COMPANY LLC,10.7,10.7,,,11,0,0,0,0
CRUDE OIL,39540,"ARB MIDSTREAM, LLC",39.6,8.5,,,40,25,0,1,1
CRUDE OIL,39551,"STAKEHOLDER MIDSTREAM CRUDE OIL PIPELINE, LLC",23.6,0,,,24,23.6,0,2,2
CRUDE OIL,39565,TORRENT OIL LLC,20,0,,,20,0,0,0,0
CRUDE OIL,39581,CALIBER BEAR DEN INTERCONNECT LLC,5.7,0.53,,,6,0,0,0,0
CRUDE OIL,39587,"SAVAGE BAKKEN CONNECTOR, INC",,,2.3,0,2,2.3,0,0,0
CRUDE OIL,39589,"STATELINE CRUDE, LLC",15.6,0,7.5,1.73,23,20.7,0,2,2
CRUDE OIL,39593,QEP ENERGY COMPANY,2.8,0,,,3,0,0,3,3
CRUDE OIL,39606,CAPROCK PERMIAN CRUDE LLC,29.5,0,,,30,9.5,0,1,1
CRUDE OIL,39607,"TWIN EAGLE GARDENDALE PIPELINE, LLC",2.2,0,,,2,0,0,0,0
CRUDE OIL,39610,"CPE GATHERING MIDCON, LLC",16.8,0,,,17,0,0,1,1
CRUDE OIL,39618,TORRANCE REFINING COMPANY LLC,,,,,,,0,2,2
CRUDE OIL,39636,"CARBON CALIFORNIA OPERATING COMPANY, LLC",3.7,3.7,,,4,3.7,0,0,0
CRUDE OIL,39648,VALERO HOUSTON REFINERY,1.4,1.4,,,1,0,0,0,0
CRUDE OIL,39649,"IRONWOOD MIDSTREAM ENERGY PARTNERS, LLC",19.9,2.25,,,20,0,0,0,0
CRUDE OIL,39666,FORMULA MIDSTREAM PARTNERS LLC,23.1,0.14,,,23,0,0,0,0
CRUDE OIL,39670,"SEAHAWK PIPELINE, LLC",20.9,1.7,,,21,0,0,0,0
CRUDE OIL,39675,"SCT PIPELINE, LLC",17.5,8.75,,,18,0,0,0,0
CRUDE OIL,39684,ROCKY MOUNTAIN MIDSTREAM PIPELINE LLC,17.6,3.58,,,18,0,0,0,0
CRUDE OIL,39694,"BRIDGE ENERGY, LLC",3.5,3.5,,,4,3.5,0,0,0
CRUDE OIL,39698,S2 ENERGY OPERATING LLC,0.2,0,,,0,0,0,0,0
CRUDE OIL,39708,"SYDRI OPERATING, INC.",1.3,1.27,,,1,1.3,0,0,0
CRUDE OIL,39713,CANTIUM. LLC,,,14.7,0,15,0,0,0,0
CRUDE OIL,39763,"FELIX MIDSTREAM, LLC.",36.2,0,,,36,0,0,10,10
CRUDE OIL,39774,"GLASS MOUNTAIN PIPELINE, LLC",260,79.35,,,260,0,0,6,6
CRUDE OIL,39806,"EVX MIDSTREAM PARTNERS, LLC",13.9,0,,,14,0,0,0,0
CRUDE OIL,39810,DIAMONDBACK E&P LLC,52.3,0,,,52,0,0,1,1
CRUDE OIL,39817,TN AVENUE LLC,2.5,2.5,,,3,2.5,0,0,0
CRUDE OIL,39833,"SAN MATEO BLACK RIVER OIL PIPELINE, LLC",15.8,0,,,16,15.8,0,0,0
CRUDE OIL,39837,PARAMOUNT PIPELINE LLC,43.6,43.63,,,44,0,0,0,0
CRUDE OIL,39874,"BEACON WEST ENERGY GROUP, LLC",3,3,15.4,15.35,18,3.6,0,0,0
CRUDE OIL,39879,"DWYER TERMINAL, LLC",,,,,,,0,1,1
CRUDE OIL,39882,"GETKA ENERGY, LLC",0.9,0,,,1,0,0,0,0
CRUDE OIL,39950,"3 BEAR DELAWARE OPERATING-NM, LLC",1.8,0,,,2,0,0,0,0
CRUDE OIL,40051,VALERO REFINING - MERAUX LLC,1.5,1.52,,,2,0,0,0,0
HVL FLAMM TOXIC,300,"PLAINS PIPELINE, L.P.",52.2,0.26,72.6,28.79,125,0,0,2,2
HVL FLAMM TOXIC,473,ANADARKO PETROLEUM CORP,58.1,5.2,,,58,12.1,0,0,0
HVL FLAMM TOXIC,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",29.2,20.73,,,29,0,0,0,0
HVL FLAMM TOXIC,2162,DOW PIPELINE CO - CAYUSE,,,248.8,64.14,249,0,0,0,0
HVL FLAMM TOXIC,2714,"DOMINION ENERGY TRANSMISSION, INC.",7.6,7.61,71,70.98,79,0,0,0,0
HVL FLAMM TOXIC,2731,CHEVRON PIPE LINE CO,"1,083.00",417.9,,,1083,0,0,0,0
HVL FLAMM TOXIC,3445,DIXIE PIPELINE COMPANY LLC,,,"1,306.10",656.22,1306,0,0,0,0
HVL FLAMM TOXIC,3527,DOW PIPELINE CO,480.3,283.96,,,480,0,0,0,0
HVL FLAMM TOXIC,3535,DOW PIPELINE CO,197.4,39.51,,,197,0,0,0,0
HVL FLAMM TOXIC,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,40.8,24.61,52.1,0,93,0,0,4,4
HVL FLAMM TOXIC,4472,CYPRESS INTERSTATE PIPELINE LLC,,,104.3,76.53,104,0,0,0,0
HVL FLAMM TOXIC,4906,EXXONMOBIL PIPELINE CO,"1,620.50","1,065.59",,,1621,0,0,0,0
HVL FLAMM TOXIC,11032,SPIRE MISSOURI INC. EAST,,,40,40.04,40,0,0,0,0
HVL FLAMM TOXIC,11272,LAVACA PIPELINE CO,54.9,4.07,,,55,0,0,0,0
HVL FLAMM TOXIC,12624,EXXONMOBIL OIL CORPORATION,203.7,97.29,,,204,0,0,0,0
HVL FLAMM TOXIC,12628,MOBIL PIPE LINE COMPANY,135.4,114.5,,,135,0,0,0,0
HVL FLAMM TOXIC,12634,EXXONMOBIL OIL CORPORATION,179.2,94.05,,,179,0,0,0,0
HVL FLAMM TOXIC,15485,PHILLIPS 66 COMPANY - SWEENY REFINERY,14.7,1.26,,,15,0,0,0,0
HVL FLAMM TOXIC,19319,"TPC GROUP, LLC",121.9,120.34,,,122,0,0,0,0
HVL FLAMM TOXIC,19892,UCAR PIPELINE INCORPORATED,69.9,16.95,,,70,0,0,0,0
HVL FLAMM TOXIC,20046,UNION CARBIDE CHEMICALS & PLASTICS CO INC,7.1,4.51,,,7,7.1,0,0,0
HVL FLAMM TOXIC,20202,ULTRAMAR INC,7.6,7.62,,,8,0,0,0,0
HVL FLAMM TOXIC,22855,"FLINT HILLS RESOURCES, LC",535,376.1,170.4,31.61,705,0,0,0,0
HVL FLAMM TOXIC,25146,"EQUISTAR CHEMICALS, L.P.","1,292.30",773.67,35,19.07,1327,0,0,0,0
HVL FLAMM TOXIC,26026,"MARKWEST RANGER PIPELINE COMPANY, L.L.C.",,,139.8,64.68,140,0,0,0,0
HVL FLAMM TOXIC,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",0.7,0.72,,,1,0,0,0,0
HVL FLAMM TOXIC,26065,CHS MCPHERSON REFINERY INC.,13,6.92,,,13,0,0,0,0
HVL FLAMM TOXIC,26086,SEADRIFT PIPELINE CORP,"1,024.50",222.72,,,1025,0,0,0,0
HVL FLAMM TOXIC,26099,TAMPA BAY PIPELINE CO.,89.1,82.24,,,89,0,0,0,0
HVL FLAMM TOXIC,26103,"TEXAS EASTMAN DIVISION, EASTMAN CHEMICAL CO",470.5,116.26,,,471,0,0,0,0
HVL FLAMM TOXIC,26112,VALERO REFINING-TEXAS L.P.,13.5,13.52,,,14,0,0,0,0
HVL FLAMM TOXIC,26302,MUSTANG PIPELINE CO,89.3,24.7,,,89,0,0,0,0
HVL FLAMM TOXIC,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",11.6,0.08,,,12,0,0,0,0
HVL FLAMM TOXIC,30544,OCCIDENTAL CHEMICAL CORP,41.9,2.94,,,42,0,0,0,0
HVL FLAMM TOXIC,30626,TARGA NGL PIPE LINE CO,195.4,176,106.4,57.77,302,0,0,0,0
HVL FLAMM TOXIC,30683,WESTLAKE PETROCHEMICALS LLC,17.5,14.57,,,18,0,0,0,0
HVL FLAMM TOXIC,30709,HUNTSMAN PETROCHEMICAL LLC,1.1,1.13,,,1,0,0,0,0
HVL FLAMM TOXIC,30755,CITGO PRODUCTS PIPELINE CO,,,110,54.09,110,0,0,0,0
HVL FLAMM TOXIC,30777,MOTIVA ENTERPRISE LLC,35.3,35.32,,,35,35.2,0,0,0
HVL FLAMM TOXIC,30825,CITGO PETROLEUM CORPORATION (REFINERY),6.2,6.24,,,6,0,0,0,0
HVL FLAMM TOXIC,30826,WILLIAMS FIELD SERVICES,63.6,18.76,"1,091.20",353.03,1155,0,0,4,4
HVL FLAMM TOXIC,30940,"WILLIAMS ENERGY, LLC",23.2,10.26,,,23,0,0,0,0
HVL FLAMM TOXIC,30959,THE DOW CHEMICAL COMPANY,86.1,74.57,,,86,0,0,0,0
HVL FLAMM TOXIC,31023,CITGO REFINING & CHEMICAL CO. L.P.,5.7,5.7,,,6,0,0,0,0
HVL FLAMM TOXIC,31059,BASF CORPORATION,10,10.23,,,10,0,0,2,2
HVL FLAMM TOXIC,31130,DCP MIDSTREAM,"1,815.40",226.28,"1,742.40",598.2,3558,0,0,0,0
HVL FLAMM TOXIC,31174,"SHELL PIPELINE CO., L.P.",198.7,169.5,445.7,258.3,644,0,0,0,0
HVL FLAMM TOXIC,31178,XTO ENERGY INC,15.7,0,,,16,0,0,0,0
HVL FLAMM TOXIC,31189,BP PIPELINE (NORTH AMERICA) INC.,4.9,1.5,1.7,1.7,7,0,0,0,0
HVL FLAMM TOXIC,31199,ALLIANCE PIPELINE L.P.,0.3,0,,,0,0,0,0,0
HVL FLAMM TOXIC,31202,"ENABLE MIDSTREAM PARTNERS, LP",57.9,4.94,,,58,0,0,0,0
HVL FLAMM TOXIC,31228,"CALIFORNIA RESOURCES ELK HILLS, LLC",22,22,,,22,0,0,0,0
HVL FLAMM TOXIC,31256,"AMERICAN MIDSTREAM GAS SOLUTIONS, LP",36.4,18.58,,,36,0,0,0,0
HVL FLAMM TOXIC,31285,HOUSTON AMMONIA TERMINAL,6.2,3.54,,,6,0,0,0,0
HVL FLAMM TOXIC,31341,OLIKTOK PIPELINE COMPANY,28.1,28.07,,,28,0,0,0,0
HVL FLAMM TOXIC,31371,"BUCKEYE DEVELOPMENT & LOGISTICS, LLC",591.4,405.72,118.4,79.44,710,0,0,0,0
HVL FLAMM TOXIC,31425,MIDCOAST PIPELINES (TEXAS GATHERING) L.P.,87.2,7.18,,,87,0,0,0,0
HVL FLAMM TOXIC,31454,"NUSTAR LOGISTICS, L.P.",215.4,64.5,,,215,0,0,0,0
HVL FLAMM TOXIC,31506,CONOCOPHILLIPS COMPANY (E&P-L-48),18.7,0.74,,,19,17.7,0,0,0
HVL FLAMM TOXIC,31517,ASCEND PERFORMANCE MATERIALS TEXAS INC,123.1,64.88,,,123,0,0,0,0
HVL FLAMM TOXIC,31554,"BOARDWALK PETROCHEMICAL PIPELINE, LLC",,,177.6,69.5,178,0,0,0,0
HVL FLAMM TOXIC,31574,"WESTERN REFINING LOGISTICS, LP",126.4,25.3,,,126,0,0,0,0
HVL FLAMM TOXIC,31613,"MIDCOAST PIPELINES (EAST TEXAS), L.P.",176.2,32.57,,,176,0,0,0,0
HVL FLAMM TOXIC,31636,NORTHERN STATES POWER CO OF MINNESOTA,8,8,,,8,0,0,2,2
HVL FLAMM TOXIC,31687,"HILL-LAKE GAS STORAGE, LLC",2,0,,,2,0,0,0,0
HVL FLAMM TOXIC,31703,"WILLIAMS MLP OPERATING, LLC",5.5,0,,,6,5.5,0,0,0
HVL FLAMM TOXIC,31707,CHEVRON U.S.A. INC - PERMIAN BASIN,0.3,0,,,0,0.3,0,0,0
HVL FLAMM TOXIC,31719,HILAND PARTNERS HOLDINGS LLC,21.8,10.32,,,22,0,0,0,0
HVL FLAMM TOXIC,31721,PIPELINE TECHNOLOGY,6.3,6.3,,,6,0,0,0,0
HVL FLAMM TOXIC,31755,"NOBLE MIDSTREAM SERVICES, LLC",5.1,0,,,5,0,0,0,0
HVL FLAMM TOXIC,31816,"MID-CONTINENT FRACTIONATION AND STORAGE, L.L.C.",59.1,0.4,,,59,0,0,0,0
HVL FLAMM TOXIC,31887,DUKE ENERGY KENTUCKY - LIQUID,3.4,3.41,,,3,0,0,0,0
HVL FLAMM TOXIC,31888,CENTURION PIPELINE L.P.,12.5,0,,,13,12.5,0,0,0
HVL FLAMM TOXIC,31914,NGL SUPPLY TERMINAL COMPANY LLC,5.5,0.2,,,6,5.4,0,0,0
HVL FLAMM TOXIC,31919,MIDSTREAM ENERGY PARTNERS (USA) LLC,47.5,47.5,,,48,0,0,0,0
HVL FLAMM TOXIC,31943,MIDCOAST GATHERING (NORTH TEXAS) L.P.,16.4,0,,,16,0,0,0,0
HVL FLAMM TOXIC,31982,"KOCH FERTILIZER, LLC.",0.2,0.19,,,0,0,0,1,1
HVL FLAMM TOXIC,32005,"ENLINK PROCESSING SERVICES, LLC",421.6,109.05,311.3,112.32,733,0,0,0,0
HVL FLAMM TOXIC,32007,SUPERIOR PIPELINE COMPANY L.L.C.,36.1,1.24,,,36,0,0,0,0
HVL FLAMM TOXIC,32051,"MARTIN OPERATING PARTNERSHIP, L.P.",197.9,10,,,198,0,0,0,0
HVL FLAMM TOXIC,32073,LUCID ARTESIA COMPANY,7.2,0,,,7,7.2,0,0,0
HVL FLAMM TOXIC,32094,AUX SABLE LIQUID PRODUCTS,32.3,32.28,,,32,0,0,0,0
HVL FLAMM TOXIC,32095,"LBC HOUSTON, L.P.",1.8,1.77,,,2,0,0,0,0
HVL FLAMM TOXIC,32099,ENERGY TRANSFER COMPANY,"1,456.70",490.02,"1,447.90",668.03,2905,0,0,9,9
HVL FLAMM TOXIC,32114,COPANO NGL SERVICES LLC,183.2,69.54,,,183,0,0,0,0
HVL FLAMM TOXIC,32129,OKLAHOMA GAS PROCESSING,11,0,,,11,0,0,0,0
HVL FLAMM TOXIC,32147,MARATHON PIPE LINE LLC,129.5,126.6,62.1,44.2,192,0,0,5,5
HVL FLAMM TOXIC,32215,NOVA CHEMICALS CORPORATION,11.2,11.15,,,11,0,0,0,0
HVL FLAMM TOXIC,32248,"FRONTIER FIELD SERVICES, LLC",0.3,0,,,0,0,0,0,0
